CKDStage,ageBand,sex,p_NVD
0,35-45,0,0.0014
0,45-55,0,0.0027
0,55-65,0,0.0055
0,65-75,0,0.0101
0,75-85,0,0.0272
0,85-Inf,0,0.0849
0,35-45,1,0.0024
0,45-55,1,0.0042
0,55-65,1,0.0087
0,65-75,1,0.0157
0,75-85,1,0.0376
0,85-Inf,1,0.097
1,35-45,0,0.0022
1,45-55,0,0.0039
1,55-65,0,0.0074
1,65-75,0,0.0146
1,75-85,0,0.038
1,85-Inf,0,0.1109
1,35-45,1,0.0036
1,45-55,1,0.006
1,55-65,1,0.0116
1,65-75,1,0.0226
1,75-85,1,0.0524
1,85-Inf,1,0.1264
2,35-45,0,0.0026
2,45-55,0,0.0044
2,55-65,0,0.0099
2,65-75,0,0.0214
2,75-85,0,0.0624
2,85-Inf,0,0.2035
2,35-45,1,0.0043
2,45-55,1,0.0068
2,55-65,1,0.0156
2,65-75,1,0.0329
2,75-85,1,0.0858
2,85-Inf,1,0.2301
3,40-50,0,0.0327
3,50-55,0,0.0586
3,55-60,0,0.0664
3,60-65,0,0.0807
3,65-70,0,0.0889
3,70-75,0,0.1073
3,75-80,0,0.1275
3,80-85,0,0.1784
3,85-Inf,0,0.2212
3,40-50,1,0.0278
3,50-55,1,0.0462
3,55-60,1,0.0521
3,60-65,1,0.0721
3,65-70,1,0.0951
3,70-75,1,0.1081
3,75-80,1,0.1466
3,80-85,1,0.1629
3,85-Inf,1,0.2445
4,40-50,0,0.0086
4,50-55,0,0.0083
4,55-60,0,0.0099
4,60-65,0,0.0238
4,65-70,0,0.0398
4,70-75,0,0.0512
4,75-80,0,0.0661
4,80-Inf,0,0.1161
4,40-50,1,0.0075
4,50-55,1,0.0131
4,55-60,1,0.0163
4,60-65,1,0.0277
4,65-70,1,0.0362
4,70-75,1,0.0575
4,75-80,1,0.0698
4,80-Inf,1,0.1263
